가소롭다,가소로운_가소로울_가소로웠_가소로워_가소롭
각박하다,각박한_각박할_각박해
간절하다,간절
감격하다,감격
감동하다,감동
감미롭다,감미
감사하다,감사
감질나다,감질
개새끼,개새
걱정하다,걱정
겁나다,겁난_겁났_겁낫_겁날_겁남_겁
고독하다,고독
고통스럽다,고통
골치아프다,골치
괴롭다,괴롭_괴로운_괴로울
구질구질하다,구질_구질구질_구질구질한
굴욕감,굴욕
귀찮다,귀찬_귀찮_귀찮은_귀찬은
그놈,
그리워하다,그리워_그립_그리운_그리웠_그리울_그리움
그자식,
기겁하다,기겁
기막히다,기막
기분좋다,기분좋은_기분좋을_기분좋았_기분좋음
기쁘다,기쁜_기쁠_기뻤_기뻐_기쁨
기운없다,기운없는_기운없을_기운없었_기운없음
기절하다,기절
긴장되다,긴장
깜짝,
꼴불견,
낙심하다,낙심
놀랍다,놀라_놀란_놀랄_놀람_놀랍
눈물겹다,눈물겨운_눈물겨움
느글거리다,느글
느끼하다,느끼
답답하다,답답
당황하다,당황
대견하다,대견
덤덤하다,덤덤
두렵다,두렵_두려
따분하다,따분
뜨금하다,뜨금_뜨끔
망연자실하다,망연자실
망측하다,망측
머쓱하다,머쓱
먹먹하다,먹먹
모욕적,모욕
무료하다,무료한_무료할_무료했
무시당하다,무시
무시무시하다,무시무시
보기좋다,보기좋
부끄럽다,부끄
부담스럽다,부담스러운_부담스럽
불만스럽다,불만
불만족하다,불만족
불쌍하다,불쌍
불안하다,불안
불행하다,불행
비아냥거리다,비아냥
뼈저리다,뼈저린_뼈저렸_뼈저릴
뿌듯하다,뿌듯
삐치다,삐치_삐지
사랑스럽다,사랑스러운_사랑스럽_사랑스러웠
살벌하다,살벌
상쾌하다,상쾌
상큼하다,상큼
서럽다,서럽_서러운_서러웠_서러울
서먹하다,서먹
서운하다,서운
설레다,설렐_설?_설렌
섬뜩하다,섬뜩
섭섭하다,섭섭
섹시하다,섹시
소름끼치다,소름
속시원하다,속시원
속썩이다,속썩일_속썩인_속썩힐
신경질적,신경질
심각하다,심각
심란하다,심란
심심하다,심심
싸가지,
씁쓸하다,씁쓸
씨부랄,
씹새끼,
아깝다,아깝_까비_깝
아련하다,아련
아쉽다,아쉽
아슬아슬하다,아슬아슬
아으,
아이고,
아이씨,
아이쿠,
아차,
아휴,
안쓰럽다,안쓰럽_안쓰러운_안쓰러웠_안쓰런
안타깝다,안타깝_안타까운_안타까웠
암담하다,암담
암울하다,암울
앗,
애잔하다,애잔
애틋하다,애틋
야박하다,야박
야속하다,야속_야속한
약오르다,약오른_약오를_약올랐
얄밉다,얄밉_얄미운_얄미워
어리둥절하다,어리둥절_둥절
어색하다,어색
어이없다,어이없음_어이없이_어이없어_어이없는_어이없을
언짢다,언짢
예쁘다,예쁠_예쁜_예뻤_예뻤_이쁘_이뻤_이쁜_이쁠
외롭다,외롭_외로
우아하다,우아한
우울하다,우울한_우울_우울해
울다,울음_울었
울먹이다,울먹
울적하다,울적_울적한
울컥하다,울컥_울컥한
움찔하다,움찔_움찔한
웃어넘기다,웃어넘길_웃어넘긴_웃어넘겼
웬수,
원망하다,원망
유감스럽다,유감
유쾌하다,유쾌
으악,
으이구,
윽,
의심스럽다,의심
이상하다,이상한_이상해
이새끼,
재미없다,재미없
재미있다,재미있
저놈,
절망하다,절망_절망한
절실하다,절실
조마조마하다,조마조마
좋다,
죄송하다,죄송
죄책감,
주눅들다,주눅
즐겁다,즐겁_즐거
지겹다,지겹
지긋지긋하다,지긋_지긋지긋
지랄하다,지랄
지루함하다,지루
질투하다,질투
짜증나다,짜증
짠하다,짠한_짠했_짠할
창피하다,창피
처량하다,처량
처참하다,처참
천만다행이다,천만다행
철렁하다,철렁
초조하다,초조
충격적,충격
치사하다,치사
침울하다,침울
쾌적하다,쾌적
탄식하다,탄식
탐나다,탐날_탐나_탐났
통쾌하다,통쾌
편안하다,편할_편했_편안했_편안
하하,
행복하다,행복
허무하다,허무
허전하다,허전
허탈하다,허탈
허허,
헉,
후련하다,후련
후회하다,후회
훌륭하다,훌륭
흉측하다,흉측
흐뭇하다,흐뭇
흐흐,
흑흑,
흠칫하다,흠칫
흥미롭다,흥미
흥분하다,흥분
히히,
가볍다,가볍_가벼
감명깊다,감명
거슬리다,거슬
구차하다,구차
난감하다,난감
낯뜨겁다,
매력적,매력
맥빠지다,맥빠진_맥빠질_맥빠짐_맥빠졌
못마땅하다,못마땅
민망하다,민망
불편하다,불편
빈정거리다,빈정
스릴,
싫다,싫
신선하다,신선한_신선할_신선했
아니꼽다,아니꼬운_아니꼬울_아니꼬워_아니꼬웠
아악,
야비하다,야비
억울하다,억울
오그라들다,오글_오그라
우습다,우숩_우수운_우수웠_우수울
정떨어지다,정떨
조바심하다,조바심
짜릿하다,짜릿
쩔쩔매다,쩔쩔
아하,
수치스럽다,수치
가관이다,가관
가뿐하다,가뿐
가슴아프다,가슴아픈_가슴아플_가슴아팠_가슴아펐
가슴앓이,
가엾다,가엾_가여운_가여울_가여웠
갑작스럽다,갑작
개쌍년,
개자식,
겁쟁이,겁
고달프다,고달
고맙다,고마울_고마운_고마웠
공포감,
공허하다,공허
괘씸하다,괘씸
구역질나다,구역질
궁금하다,궁금
그년,
기묘하다,기묘
기분나쁘다,기분나쁜_기분나쁠_기분나빴
기진맥진하다,기진맥진
긴박하다,긴박
꺼림칙하다,꺼림칙
껄껄껄,
낄낄낄,
나쁘다,나쁠_나쁜_나빴_나뻤_나빠
낙담하다,낙담
난처하다,난처
낭만적,낭만
노파심,
니미,
달갑다,달갑
당혹하다,당혹
더럽다,더럽_더러운_더러웠_더러울
두근거리다,두근
따뜻하다,따뜻
따스하다,따스
만만찮다,
만족하다,만족
못되다,
무섭다,무섭_무서운_무서워
무안하다,무안
뭉클하다,뭉쿨
미안하다,미안
밉다,미운_미울_미웠_미워
반갑다,반갑_반가
버럭,
복받치다,
부러워하다,부러운_부러웠_부러운_부럽_부러울_부러움
분하다,분한_분할_분함_분했
불안정하다,불안정
비참하다,비참
빌어먹을,
상실감,상실
속상하다,속상
슬퍼하다,슬펐_슬픈_슬퍼_슬픔
신나다,신난_신나_신남
신비롭다,신비한_신비할_신비했_신비함
실망하다,실망
싫증나다,싫증
심술?다,심술
싱글벙글하다,싱글벙글
쌍년,
쌍놈,
쓸쓸하다,쓸쓸
씨부렁거리다,씨부렁
아뿔싸,
아야,
아찔하다,아찔
아프다,아픈_아플_아펐_아픔
아하하,
안절부절하다,안절부절
애도하다,애도
애처롭다,애처롭_애처로
얼떨떨하다,얼떨떨
얼씨구,
역겹다,역겹_역겨
옘병할,옘병
외톨이,외톨
울며불며,
울화통,
웃다,
웃음거리,
으쓱하다,으쓱
으앙,
자부하다,자부
자책하다,자책
자포자기하다,자포자기
잔인하다,잔인
잡놈,
저년,
절규하다,절규
절박하다,절박
제기랄,
조심스럽다,조심
증오하다,증오
지끈거리다,지끈
지독하다,지독
징그럽다,징그_징글
쭈뼛거리다,쭈뼛
찜찜하다,찜찜
찡하다,
착잡하다,착잡
처절하다,처절
충동적,충동
치밀어오르다,치밀
친근하다,친근
친숙하다,친숙
한스럽다,
한탄하다,한탄
후후,
휑하다,휑하_휑한
휘둥그레지다,휘둥그레
흡족하다,흡족
흥겹다,흥겹_흥겨운_흥겨웠
가혹하다,가혹
감탄하다,감탄
강압적,강압
같잖다,
거지같다,거지같
곤란하다,곤란
끔찍하다,끔찍
낯간지럽다,낯간지
낯설다,낯설
냉혹하다,냉혹
아유,
떨떠름하다,떨떠름
불쾌하다,불쾌
신기하다,신기
싱숭생숭하다,싱숭생숭
위축되다,위축
전전긍긍,
진저리나다,진저리
한심하다,한심
경이롭다,
갑갑하다,갑갑
거북하다,거북
격해지다,격해_격한_격할_격했
경쾌하다,경쾌
괴상하다,괴상
괴팍하다,괴팍
근사하다,근사
근심스럽다,근심
기상천외,
기이하다,기이
기절초풍하다,기절초풍
까르르,
깔깔깔깔,
망연,
못미덥다,못미덥_못미더
반신반의하다,반신반의
발칙하다,발칙
방긋,
분노하다,분노
분통터지다,분통
뾰루퉁하다,뾰루퉁
쇼킹하다,쇼킹
스산하다,스산
심통,
쓴웃음,
씩씩거리다,씩씩
아리송하다,아리송
애달프다,애달
오싹하다,오싹
울부짖다,울부짖
울분,
원통하다,원통
으하하하,
좌절되다,좌절
참담하다,참담
청승맞다,청승
초라하다,초라
침통하다,침통
코웃음치다,코웃음
콩닥거리다,콩닥
한숨짓다,한숨
함박웃음,
해괴하다,해괴
히죽거리다,히죽
염려하다,염려
시덥잖다,시덥잖
신물나다,신물
쑥스럽다,쑥쓰_쑥스
몸서리치다,몸서리
뒤숭숭하다,뒤숭숭
가증스럽다,가증스런_가증스럽_가증스러
갈증나다,갈증
경멸하다,경멸
고약하다,고약
급박하다,급박
기고만장하다,기고만장
참혹하다,참혹
학수고대하다,학수고대
갈등하다,갈등
남부끄럽다,
가련하다,가련
갈기갈기,
감개무량하다_,
경악하다,경악
감회,
겸연쩍다,겸연쩍
경박하다,경박
고리타분하다,고리타분
구슬프다,구슬픈_구슬펐_구슬플
글썽글썽하다,글썽글썽
기집년,
남부럽다,남부럽
낭패스럽다,낭패
냉가슴,
넌더리,
달갑잖다,달갑_달가운_달가웠_달가울
뜨악하다,뜨악
망막하다,망막
모멸감,
미친개,미친_미쳤
비딱하다,
속앓이,
송구하다,송구
신명나다,신명
신바람나다,
애석하다,애석
애통하다,애통
어여쁘다,어여쁜_어여쁘_어여뻤
우라질,
울상,
원더풀,
을씨년스럽다,을씨년
음울하다,음울
이힛힛힛,
잔혹하다,잔혹
적적하다,적적
절절매다,절절
참회하다,참회
카핫핫핫,
통탄하다,통탄
희희낙락하다,희희낙락
가당찮다,
골칫거리다,골칫_골치
노심초사하다,노심초사
마땅찮다,마땅찮
뼈아프다,뼈아프_뼈아픈_뼈아팠_뼈아플
상기되다,상기되_상기된_상기될
전율하다,전율
급작스럽다,급작
각성되다,각성
갈구하다,갈구
갈망하다,갈망
감흥,
감복하다,감복
격노하다,격노
격분하다,격분
격앙되다,격앙
격양되다,격양
곤욕스럽다,곤욕
기구하다,기구한_기구할_기구했
까무러치다,까무러
끼득끼득,
낙망하다,낙망
네년,
네놈,
노여워하다,노여워
멋쩍다,멋쩍
멸시당하다,멸시
방그레,
방글방글,
복수심,복수
분개하다,분개
불유쾌하다,불유쾌
비탄하다,비탄
비통하다,비통
빙그레,
사무치다,사무친_사무칠_사무쳤
새파래지다,
숙연하다,숙연
신통찮다,신통
심드렁하다,심드렁
심려하다,심려
쌩끗,
씰룩거리다,씰룩
아연실색하다,아연실색
알쏭달쏭하다,알쏭달쏭
애끓다,애끓
와들와들,
으스스하다,으스스
절절하다,절절
진노하다,진노
측은하다,측은
치떨리다,치떨리_치떨렸_치떨린
치욕적,치욕
킬킬거리다,킬킬
탄복하다,탄복
질겁하다,질겁
초연하다,초연
가고파,가고픈_가고팠_가고픔
개운찮다,개운
계면쩍다,계면쩍
고취되다,고취
곤혹스럽다,곤혹
고단하다,고단
가싶남,
간장녀,
간지남,
갈매기아빠,
감성팔이,
감솨,
갑툭튀,
갓띵곡,
갓물주,
강려크하다,
강철멘탈,
강추,
강퇴,
개꿀잼,
개노답,
개노잼,
개드립,
개망,
개뿔,
개소름,
개이득,ㄱㅇㄷ
개저씨,
개쩐다,
겐트위한,
겨터파크,겨파
고나리질,
고답이,
과즙미,
관심사병,
관종병,
광광우럭따,
광탈,
구멍병사,
귀르가즘,
귀염사,
귀요미,
귀척,
귀테러,
그린라이트,
극보수,
극혐,
극호감,
근자감,
급당황,
급식충,
기레기,
길막,
까비,ㄲㅂ
깜놀,
꽁냥거리다,꽁냥
꿀보직,꿀보
꿀빨다,
꿀잠,
꿀재미,꿀잼
낄끼빠빠,낄끼_낄빠
나레기,
남혐,
내로남불,
넌씨눈,
노관심,
노답,
노오력,
노잼,ㄵ_ㄴㅈ
눈갱,
답정너,
덕통사고,
돋네,
돌직구,
된장남,
두둠칫,
득템,
딥빡,
땡큐,
띵곡,
띵언,
렛츠기릿,
마상,
맴찢,
먹자,
먹튀,
멘붕,
명존쎄,
무뇌충,
발연기,
발컨,
병맛,
불금,
불토,
비호감,
설명충,
소오름,
숨멎,
스웩,
시망,
심멎,
심쿵사,
심폭,
씹꿀잼,
씹노답,
씹노잼,ㅆㄵ_ㅆㄴㅈ
씹덕사,
씹이득,ㅆㅇㄷ
안궁,
안물,
안습,
알러뷰,
약혐,
어쩔,
어쩜,
에바참치,
여혐러,여혐
오지다,
웃프다,
위꼴,
자살각,
조아해,
조타,
존맛,
존망,ㅈ망_좆망
존예,
존잘,
졸귀,
좋드,
진지충,
쩐다,
초난감,
초대박,
취저,
캐멋지다,
커엽다,
폭풍눈물,
피꺼솟,
핵귀염,
핵꿀잼,
핵노답,
핵노잼,
핵사이다,
핵이득,
핵잼,
햄볶,
현실소름,
현웃,
홧팅,
개사이다,
꿀잼각,
대유잼,
갓띵작,
이맛현,
큐티뽀짝,
머박,
떡상,
졸귀탱,
핵존잘,
렬루,
씹덕상,
뽀작거리다,뽀작거_뽀쟉거
갑분띄,
좋못사,
도른미,
세젤섹,
만뚫남,
댕댕미,
뽀시래기,
꿀근무지,
소매넣기,
세젤무,
에바참치꽁치,
존똑,
법블레스유,
시발비용,
빡침비용,
홧김비용,
핑거프린스,
똥겜,
노룩취재,
뇌피셜,
냄져,
갑분싸,
고나리자,
노급식존,
젊꼰,
탈룰라,
셀럽병,
팩트폭행,팩트리어트_팩트리어트미사일_팩트폭격_팩트폭력_팩폭_팩력배
연포자,
롬곡롬곡,
팡탈,
흑우,혹우
멍청비용,
설거지옥,
야근각,
사무실 지박령,
프로야근러,
TMT,
멘찢,
행복회로,
띵작,띵반
졌잘싸,
가심비,
과시템,
욜로라이프,